,0
0,4.6049934768676755
1,4.603254421234131
2,4.590079551696777
3,4.592510620117188
4,4.586115821838379
5,4.585467338562012
6,4.5789330825805665
7,4.574996601104736
8,4.57245320892334
9,4.565446933746338
10,4.558629207611084
11,4.558404636383057
12,4.55399955368042
13,4.552333503723145
14,4.552570983886719
15,4.548049140930176
16,4.5450623435974125
17,4.542771125793457
18,4.547867248535156
19,4.5377899894714355
20,4.536925434112549
21,4.537780097961425
22,4.54039575958252
23,4.528125247955322
24,4.531620067596435
25,4.530827919006348
26,4.5256662178039555
27,4.528193977355957
28,4.521650856018066
29,4.52748205947876
30,4.521967872619629
31,4.515774055480957
32,4.514419124603272
33,4.523684387207031
34,4.52418936920166
35,4.527500350952148
36,4.511487873077392
37,4.516882629394531
38,4.502211498260498
39,4.517875648498535
40,4.506748626708984
41,4.506371551513672
42,4.512828163146972
43,4.507343509674072
44,4.501749713897705
45,4.500848030090332
46,4.504934928894043
47,4.501673789978027
48,4.502907733917237
49,4.4988957748413085
50,4.495662460327148
51,4.502051441192627
52,4.499887683868408
53,4.503164886474609
54,4.48901245880127
55,4.493853790283203
56,4.493154685974121
57,4.503646076202393
58,4.4948206176757814
59,4.487696617126465
60,4.495112266540527
61,4.4923754196167
62,4.483973911285401
63,4.489228889465332
64,4.49272441482544
65,4.48298267364502
66,4.48519660949707
67,4.487187839508056
68,4.481550643920898
69,4.486885372161865
70,4.474671756744384
71,4.484106029510498
72,4.4796526222229005
73,4.481881721496582
74,4.478880508422852
75,4.478387817382813
76,4.474706245422364
77,4.49761782836914
78,4.482046787261963
79,4.477438694000244
80,4.472854595184327
81,4.471781257629394
82,4.479830158233643
83,4.47328099822998
84,4.4666066627502445
85,4.47600008392334
86,4.478424919128418
87,4.467473770141601
88,4.473675006866455
89,4.4766988220214845
90,4.455434616088867
91,4.46541198348999
92,4.46390735244751
93,4.458492309570312
94,4.466840023040771
95,4.465985321044922
96,4.462929965972901
97,4.462814609527588
98,4.456089832305908
99,4.474099281311035
100,4.453046535491944
101,4.446777683258056
102,4.460362007141113
103,4.464522029876709
104,4.458630970001221
105,4.455653339385987
106,4.465955944061279
107,4.454532550811767
108,4.459349006652832
109,4.452472160339355
110,4.448062595367432
111,4.451081119537354
112,4.454788040161133
113,4.451009525299073
114,4.445325511932373
115,4.448968547821045
116,4.461746932983399
117,4.4511684150695805
118,4.440571640014649
119,4.45485050201416
120,4.443284191131592
121,4.445597122192383
122,4.441166431427002
123,4.449914733886719
124,4.432140861511231
125,4.4446191864013675
126,4.443382835388183
127,4.444943687438965
128,4.434372032165528
129,4.450535522460937
130,4.44743091583252
131,4.44015418624878
132,4.437160713195801
133,4.4321039810180665
134,4.441430980682373
135,4.448073516845703
136,4.438400856018067
137,4.434742626190186
138,4.438667171478271
139,4.436181838989258
140,4.4263882751464845
141,4.438524158477783
142,4.434180130004883
143,4.429851512908936
144,4.438499698638916
145,4.43522972869873
146,4.4333127784729
147,4.440658740997314
148,4.432591304779053
149,4.429390155792237
150,4.434031394958496
151,4.4257330932617185
152,4.424488834381103
153,4.438502780914306
154,4.435844890594482
155,4.434368309020996
156,4.420536106109619
157,4.4233387794494625
158,4.423848072052002
159,4.431479572296142
160,4.4239954643249515
161,4.432185771942138
162,4.421381641387939
163,4.421441844940185
164,4.426147846221924
165,4.413483345031739
166,4.425168853759765
167,4.423137042999268
168,4.425491722106933
169,4.427790897369385
170,4.423553173065185
171,4.424426300048828
172,4.418509071350098
173,4.4152455825805665
174,4.4156453247070315
175,4.411141941070556
176,4.4195700454711915
177,4.417711582183838
178,4.42107649230957
179,4.42639826965332
180,4.4085594825744625
181,4.416803215026856
182,4.409936763763428
183,4.411053340911865
184,4.420249664306641
185,4.419437850952148
186,4.419122737884521
187,4.4142744216918945
188,4.406378402709961
189,4.414045093536377
190,4.411011482238769
191,4.411921199798584
192,4.408391544342041
193,4.4015404357910155
194,4.414495113372802
195,4.398158164978027
196,4.411116996765137
197,4.4175077896118164
198,4.410692646026611
199,4.413923812866211
200,4.405057071685791
201,4.406205310821533
202,4.410150569915771
203,4.406301345825195
204,4.404778163909912
205,4.402297058105469
206,4.403285915374756
207,4.416293529510498
208,4.416021282196045
209,4.40239514541626
210,4.3976996154785155
211,4.41446508026123
212,4.391505336761474
213,4.402871417999267
214,4.395576240539551
215,4.411562534332275
216,4.40107377243042
217,4.403786712646484
218,4.394561656951904
219,4.403182598114014
220,4.403311874389648
221,4.40279052734375
222,4.390346054077148
223,4.401761249542236
224,4.396084789276123
225,4.401926944732666
226,4.406014549255371
227,4.39325751876831
228,4.401007019042969
229,4.39727668762207
230,4.3890451889038085
231,4.4015656814575195
232,4.403742340087891
233,4.3867772102355955
234,4.40089709854126
235,4.396558624267578
236,4.394774921417237
237,4.399428874969482
238,4.3911467475891115
239,4.392517009735108
240,4.392986404418945
241,4.397153377532959
242,4.394862583160401
243,4.379621994018555
244,4.391113872528076
245,4.389572162628173
246,4.398036151885987
247,4.3879152755737305
248,4.391933155059815
249,4.395760704040527
250,4.391456039428711
251,4.389607460021972
252,4.38502587890625
253,4.3939090309143065
254,4.388951835632324
255,4.386098609924316
256,4.387916969299316
257,4.395434818267822
258,4.386040195465088
259,4.393101104736328
260,4.38831901550293
261,4.390485401153565
262,4.380448783874511
263,4.390867973327636
264,4.38648694229126
265,4.385905776977539
266,4.3796632232666015
267,4.377924690246582
268,4.3891833267211915
269,4.386343730926514
270,4.3790674324035646
271,4.394646301269531
272,4.373825092315673
273,4.386646995544433
274,4.370479393005371
275,4.387870552062989
276,4.386214599609375
277,4.385985340118408
278,4.373034729003907
279,4.382529067993164
280,4.376301376342774
281,4.384045997619629
282,4.375914730072021
283,4.380461585998535
284,4.378947196960449
285,4.385516422271729
