,0
532,21.54
533,21.27
534,21.17
535,21.46
536,21.54
537,21.45
538,21.5
539,21.35
540,21.46
541,21.66
542,21.31
543,21.65
544,21.58
545,21.33
546,21.29
547,21.22
548,21.94
549,21.39
550,21.71
551,21.56
552,21.48
553,21.74
554,21.45
555,21.68
556,21.44
557,21.17
558,21.34
559,21.33
560,21.28
561,21.13
562,21.76
563,21.24
564,21.43
565,21.41
566,21.79
567,21.45
568,21.48
569,21.68
570,21.19
571,21.84
572,21.67
573,21.76
574,21.42
575,21.42
576,21.77
577,21.01
578,21.59
579,21.48
580,21.49
581,21.33
582,21.22
583,21.57
584,21.48
585,21.96
586,21.63
587,21.7
588,21.03
589,21.81
590,21.42
591,21.59
592,21.49
593,21.56
594,21.34
595,21.55
596,21.67
597,21.58
598,21.31
599,21.46
600,21.46
601,21.61
602,21.99
603,21.95
604,21.36
605,21.65
606,21.59
607,21.8
608,21.82
609,21.67
610,21.7
611,21.56
612,21.51
613,21.95
614,21.49
615,21.08
616,21.52
617,21.64
618,21.72
619,21.83
620,21.56
621,21.28
622,21.48
623,21.82
624,21.52
625,21.65
626,21.62
627,21.91
628,21.66
629,21.49
630,21.58
631,21.67
632,21.92
633,21.45
634,21.9
635,21.7
636,21.75
637,21.95
638,21.44
639,21.5
640,21.43
641,21.7
642,21.96
643,21.91
644,21.79
645,21.83
646,21.55
647,21.46
648,21.78
649,21.66
650,21.33
651,21.94
652,21.8
653,21.52
654,21.75
655,21.58
656,21.48
657,21.68
658,21.75
659,21.37
660,21.28
661,21.25
662,21.56
663,21.8
664,21.6
665,21.44
666,21.32
667,21.69
668,21.89
669,21.71
670,22.02
671,21.55
672,21.67
673,21.48
674,21.57
675,21.92
676,21.67
677,21.72
678,21.46
679,21.72
680,21.63
681,21.73
682,21.86
683,21.39
684,21.81
685,21.54
686,21.95
687,21.84
688,21.82
689,21.7
690,21.65
691,21.6
692,21.64
693,21.92
694,22.06
695,21.59
696,21.58
697,21.37
698,21.58
699,21.82
700,21.63
701,21.41
702,21.65
703,21.62
704,21.6
705,21.58
706,21.27
707,21.8
708,21.63
709,21.61
710,21.91
711,21.78
712,21.47
713,21.55
714,21.5
715,21.84
716,21.82
717,21.57
718,21.41
719,21.71
720,21.74
721,21.84
722,21.64
723,21.73
724,21.64
725,21.87
726,21.46
727,21.82
728,21.81
729,21.72
730,21.68
731,21.72
732,21.46
733,21.55
734,21.66
735,21.73
736,21.84
737,21.57
738,22.1
739,22.2
740,21.83
741,21.76
742,22.13
743,21.98
744,21.57
745,21.52
746,21.86
747,21.56
748,21.74
749,21.7
750,21.57
751,21.52
752,21.73
753,21.78
754,21.91
755,21.64
756,21.82
757,21.9
758,21.75
759,22.14
760,21.87
761,22.01
762,21.61
763,21.49
764,21.86
765,22.12
766,21.57
767,21.79
768,21.37
769,21.99
770,22.1
771,21.77
772,21.91
773,21.53
774,21.74
775,22.0
776,21.99
777,21.91
778,22.23
779,21.68
780,21.76
781,21.96
782,21.61
783,21.77
784,21.52
785,21.81
786,21.65
787,22.11
788,21.79
789,21.54
790,21.62
791,21.95
792,21.85
793,21.57
794,21.59
795,22.19
796,22.08
797,21.87
798,21.84
799,21.86
800,21.49
801,22.06
802,21.73
803,21.84
804,21.59
805,21.49
806,21.72
807,22.04
808,21.92
809,21.8
810,21.35
811,21.94
812,21.66
813,21.88
814,21.72
815,21.57
816,22.04
817,21.53
818,21.51
819,22.03
820,21.72
821,22.06
822,21.88
823,21.86
824,21.46
825,21.98
826,21.84
827,21.55
828,21.93
829,21.92
830,22.03
831,22.23
832,21.62
833,21.65
834,21.78
835,21.73
836,22.03
837,21.76
838,22.2
839,22.0
840,22.08
841,21.74
842,21.97
843,22.32
844,21.91
845,22.04
846,21.98
847,22.11
848,22.09
849,21.84
850,21.69
851,21.65
852,21.81
853,22.0
854,21.66
855,22.09
856,21.84
857,22.39
858,22.13
859,21.99
860,22.07
861,21.98
